医療機関名称,郵便番号,住所
あべ整形外科クリニック,180-0003,東京都武蔵野市吉祥寺南町１－６－１８ルネ吉祥寺Ｂ－２０１Ａ
医療法人社団　光徳会　藤田整形外科,180-0003,東京都武蔵野市吉祥寺南町１－９－１０
医療法人社団　緑祐会　吉祥寺駅前クリニック,180-0003,東京都武蔵野市吉祥寺南町２－２－５アスコーナミエビル７Ｆ
医療法人社団　友志育成会　むさし野クリニック,180-0004,東京都武蔵野市吉祥寺本町１－１０－３古城会館７Ｆ
クリニックプラス吉祥寺,180-0004,東京都武蔵野市吉祥寺本町１－４－１５ホワイトハウスビル４Ｆ
医療法人社団　白百合会　タワーズ内科クリニック,180-0006,東京都武蔵野市中町１－１２－１０スカイゲートタワー５ＦＢ号
田原医院,180-0014,東京都武蔵野市関前３－３－９
ほりうちクリニック,180-0014,東京都武蔵野市関前５－８－１０
サルスクリニック武蔵境,180-0022,東京都武蔵野市境１－１５－５グランシャルール武蔵境３階
医療法人社団　白百合会　リリーローズメロディチャイルドクリニック,180-0022,東京都武蔵野市境１－１－７ＱｕＯＬａ１階
医療法人社団　慶定会　武蔵境あべメディカルクリニック,180-0022,東京都武蔵野市境１－９－９
医療法人社団　弁天会　ウエルネスクリニック,180-0022,東京都武蔵野市境２－１２－１３飯田ビル４階
医療法人社団　白百合会　スイング・ビル野崎クリニック,180-0022,東京都武蔵野市境２－１４－１スイング８０３号
医療法人社団　若狭内科クリニック,180-0023,東京都武蔵野市境南町２－１２－１２ヴィラキャスケード１階
健診スクエア武蔵境　まつもとファミリークリニック,180-0023,東京都武蔵野市境南町２－９－３大矢ビル２Ｆ
医療法人社団　福正会　甲賀クリニック,180-0023,東京都武蔵野市境南町３－１２－２
武蔵野みどり診療所,181-0001,東京都三鷹市井の頭５－７－３６ＳＡＫＵＲＡ１階
三鷹あかつきクリニック,181-0004,東京都三鷹市新川６－９－１１松ビル１Ｆ
医療法人社団　健櫻会　篠原医院,181-0012,東京都三鷹市上連雀２－９－５
ゆみのハートクリニック三鷹,181-0013,東京都三鷹市下連雀３－２６－９サンシロービル４Ｆ
三鷹駅前たなか糖尿病・内科クリニック,181-0013,東京都三鷹市下連雀３－３６－１トリコナ３Ｆ
みたかヘルスケアクリニック,181-0013,東京都三鷹市下連雀３－３８－４三鷹産業プラザ５Ｆ－Ｂ
のざきはちまん前内科,181-0014,東京都三鷹市野崎１－２２－８レヴァンティア１Ｆ
せたがや仙川クリニック,182-0002,東京都調布市仙川町２－２１－１３仙川駅前ビルＢ館３Ｆ
医療法人社団　敬寿会　わかば町クリニック,182-0003,東京都調布市若葉町２－１－６
医療法人社団　暖心会　しばさき内科クリニック,182-0007,東京都調布市菊野台２－５－２１オガワアグリコート１階
医療法人社団　光眞会　工藤ハートフル・クリニック,182-0011,東京都調布市深大寺北町６－３８－６ブルージュ１階
国領内科・消化器内科クリニック,182-0022,東京都調布市国領町３－３－２０よろずやビル２０１号室
医療法人社団　桐生会　桐生クリニック,182-0026,東京都調布市小島町２－４０－１０
医療法人社団　大慈会　慈秀病院,183-0011,東京都府中市白糸台３－１６－５
医療法人社団　卓心会　ながた内科クリニック,183-0013,東京都府中市小柳町２－１２－２
医療法人社団　平郁会　府中みどりクリニック,183-0021,東京都府中市片町２－２０－３サンノーブル１階１０３号室
医療法人社団　村上医院,183-0022,東京都府中市宮西町５－２
医療法人社団スタート　府中よつやクリニック,183-0035,東京都府中市四谷３－３７－１４
協和診療所,183-0051,東京都府中市栄町２－１０－３
府中わかばクリニック,183-0055,東京都府中市府中町２－２２－６グレースコート１Ｆ
津久井内科おなかクリニック,183-0055,東京都府中市府中町２－９－１６ウェルーチアビル２Ｆ
第２津久井内科おなかクリニック,183-0056,東京都府中市寿町１－１－３三ッ木寿町ビル７階Ａ１
医療法人社団　慈敬会　府中医王病院,183-0057,東京都府中市晴見町１－２０
医療法人社団　髙野医院,183-0057,東京都府中市晴見町３－１１－２１
ひがこ北口内科クリニック,184-0002,東京都小金井市梶野町５－１１－１パピスプラザアネックス１階・２階
浅沼整形外科,184-0004,東京都小金井市本町２－１０－２０
武蔵小金井クリニック,184-0004,東京都小金井市本町５－１９－３３
医療法人社団　つるかめ会　小金井つるかめクリニック,184-0004,東京都小金井市本町６－１４－２８アクウェルモール３Ｆ
医療法人社団・一白会　菊地脳神経外科・整形外科,184-0011,東京都小金井市東町３－１２－１１
医療法人社団　うちやまクリニック,184-0011,東京都小金井市東町４－４３－１５ＭＫジェムズマンション１Ｆ
医療法人社団　隆誠会　宮本内科医院,184-0012,東京都小金井市中町３－７－４
伊佐治内科,185-0003,東京都国分寺市戸倉４－４５－５Ｋエリタージュ１０２
たかの内科・脳神経外科クリニック,185-0012,東京都国分寺市本町２－１０－９島田ビル２階
医療法人社団緑杉会　本町クリニック,185-0012,東京都国分寺市本町２－７－１０エッセンビル２階
多摩メディカルクリニック,185-0012,東京都国分寺市本町３－１１－１４－２Ｆ
医療法人社団　創青会　あおいクリニック―駅ホーム西国分寺―,185-0013,東京都国分寺市西恋ケ窪２－１－１８ｎｏｎｏｗａ西国分寺中央線上りホーム８０７
医療法人社団栄会　にしおクリニック,185-0013,東京都国分寺市西恋ケ窪４－３０－３－２Ｆ
社会福祉法人　浴光会　国分寺病院,185-0014,東京都国分寺市東恋ケ窪４－２－２
医療法人社団　実幸会　武蔵国分寺公園クリニック,185-0023,東京都国分寺市西元町２－１６－３４ザ・ライオンズ武蔵国分寺公園１２７
青葉医院,186-0001,東京都国立市北３－１５－２
医療法人社団　浩央会　国立さくら病院,186-0002,東京都国立市東１－１９－１０
国立中央診療所,186-0004,東京都国立市中１－１４－１０
医療法人社団　ナイズ　キャップスクリニック　国立,186-0004,東京都国立市中１－１－５２ｎｏｎｏｗａ国立ＳＯＵＴＨ２Ｆ
国立の森ファミリークリニック,186-0004,東京都国立市中１－１７－２６振興第二ビル２０１
医療法人社団　欅会　小平北口クリニック,187-0001,東京都小平市大沼町２－２－１１
吉元医院,187-0002,東京都小平市花小金井１－２１－３
医療法人社団　隼甫会　ふなびき胃腸クリニック,187-0002,東京都小平市花小金井１－９－２エスパシオ３０１号
竹本内科小児科医院,187-0011,東京都小平市鈴木町２－２０５
医療法人社団　宏知会　大林医院,187-0011,東京都小平市鈴木町２－２４２－４
はやぶさ内科,187-0032,東京都小平市小川町１－７６６
慈弘会　古坂医院,187-0035,東京都小平市小川西町１－２３－１３－１階
たなか内科・リウマチ科クリニック,188-0001,東京都西東京市谷戸町２－１－４１－１Ｆ
ひばりが丘やまね小児科・皮フ科・アレルギー科,188-0001,東京都西東京市谷戸町２－１－４１グランドマストひばりが丘南１０３号
坂上医院,188-0012,東京都西東京市南町３－１７－８
くめがわ耳鼻咽喉科,189-0013,東京都東村山市栄町２－１０－２４
東村山ネフロクリニック,189-0014,東京都東村山市本町２－４－６１クレストハイム１Ｆ
社会福祉法人白十字会　東京白十字病院,189-0021,東京都東村山市諏訪町２－２６－１
宮本整形外科医院,190-0011,東京都立川市高松町２－３９－１２
医療法人社団テラス　立川クリニック,190-0012,東京都立川市曙町２－１１－２フロム中武７階
医療法人社団　進興会　立川北口健診館,190-0012,東京都立川市曙町２－３７－７コアシティ立川ビル６Ｆ・９Ｆ
クリニックプラス立川,190-0012,東京都立川市曙町２－６－１０Ｎ８ビル８Ｆ
医療法人社団　上杉会　上杉クリニック,190-0023,東京都立川市柴崎町２－１－８第２中島ビル４階
医療法人社団　秀徳会　馬場クリニック,190-0023,東京都立川市柴崎町３－１０－２０立川渡辺ビル１Ｆ
医療法人社団　鉄医会　ナビタスクリニック立川,190-0023,東京都立川市柴崎町３－１－１エキュート立川４階
立川内科クリニック,190-0023,東京都立川市柴崎町３－８－２ビルドはなさい５階
医療法人社団　崎陽会　日の出ヶ丘病院,190-0181,東京都西多摩郡日の出町大久野３１０
医療法人社団　仁應　栄町クリニック,191-0001,東京都日野市栄町１－３１－９ヴェルジュ１４０　１Ｆ
社会医療法人社団　愛有会　三愛クリニック,192-0005,東京都八王子市宮下町３７７
メディカルインスペクションセンター,192-0032,東京都八王子市石川町２９７５－２２
医療法人社団　東光会　八王子山王病院,192-0042,東京都八王子市中野山王２－１５－１６
医社）国立あおやぎ会　八王子健康管理センター,192-0046,東京都八王子市明神町４－３０－２
一般財団法人　仁和会　総合病院,192-0046,東京都八王子市明神町４－８－１
医療法人財団　興和会　みぎたクリニック,192-0066,東京都八王子市本町１３－８
市川内科クリニック,192-0072,東京都八王子市南町３－５シュゼル八王子１Ｆ
医療法人社団　清泉会　富士森内科八王子リウマチ膠原病クリニック,192-0082,東京都八王子市東町１－６橋完ＬＫビル１Ｆ
南大沢メディカルプラザ２　小児科,192-0364,東京都八王子市南大沢２－２５フォレストモール南大沢２階
南大沢メディカルプラザ,192-0364,東京都八王子市南大沢２－２５フォレストモール南大沢２階
医療法人社団　ＳＨ　菅原脳神経外科クリニック,192-0903,東京都八王子市万町１７５－１クリニックビレッジＤ棟
むらやま外科クリニック,192-0906,東京都八王子市北野町５４５－３きたのタウンビル６Ｆ
富士森内科みなみのクリニック,192-0917,東京都八王子市西片倉３－１－２１第一みなみ野クリニックセンター２Ｆ
医療法人社団　永生会　南多摩病院,193-0832,東京都八王子市散田町３－１０－１
医療法人社団　永生会　南多摩病院附属クリニック,193-0832,東京都八王子市散田町３－９－１５―１Ｆ
酒井内科医院,193-0835,東京都八王子市千人町２－７－８
医療法人社団　清泉会　富士森内科クリニック,193-0931,東京都八王子市台町２－１４－２０
医療法人社団　徳丹会　さぬき診療所,194-0003,東京都町田市小川２－２５－１４成瀬メディカルヴィレッジ１階
医療法人社団　草童会　南町田こどもクリニック,194-0004,東京都町田市鶴間３－２－３ＭＱプラザ南町田１階
医療法人社団　絢雄会　佐藤寿一クリニック,194-0013,東京都町田市原町田１－７－１７ガレリア町田ビル２Ｆ
あらいこどもアレルギークリニック,194-0013,東京都町田市原町田４－１４－１４Ｌｉｆｉｘビル２階
医療法人社団　多摩医療会　原町田診療所,194-0013,東京都町田市原町田４－１７－１１
医療法人社団　稲垣耳鼻咽喉科医院,194-0013,東京都町田市原町田６－２２－１５
玉川学園前整形外科リウマチ科,194-0041,東京都町田市玉川学園７－４－４クリーピア野口２－３階
医療法人社団　星輝会　おおくら医院,195-0062,東京都町田市大蔵町３１６５
医療法人社団　潮友会　うしお病院,196-0021,東京都昭島市武蔵野２－７－１２
医療法人社団　安井会　セザイ皮フ科・しゅういち内科,197-0022,東京都福生市本町７－１プリマヴェール福生２階
医療法人社団　光輝会　ひかりクリニック,197-0022,東京都福生市本町９５－３
島井内科小児科クリニック,197-0024,東京都福生市牛浜１１８－１コートエレガンスＥｌｌｅ－Ｋ２Ｆ
医療法人社団　豊信会　草花クリニック,197-0802,東京都あきる野市草花２７２４
医療法人財団　暁　あきる台病院　健診センター,197-0804,東京都あきる野市秋川６－５－１
医療法人社団　幸誠会　星野小児科内科クリニック,197-0822,東京都あきる野市小川東１－１９－２０－１Ｆ
あさひ整形外科クリニック,198-0024,東京都青梅市新町３－３－１－２Ｆ
医療法人社団　新町クリニック健康管理センター,198-0024,東京都青梅市新町３－５３－５
かとうクリニック,201-0012,東京都狛江市中和泉１－１－１－４階
岩下医院,201-0012,東京都狛江市中和泉５－２０－１１
保谷北町かなざわファミリークリニック,202-0003,東京都西東京市北町１－６－１レッツビルディング２Ｆ
医療法人社団　斉藤小児科内科クリニック,202-0004,東京都西東京市下保谷４－２－２１
武蔵野総合クリニックいずみ,202-0011,東京都西東京市泉町３－６－９
医療法人社団　幸慶会　みわハートクリニック,202-0012,東京都西東京市東町２－１６－２３
医療法人社団　有実会　はやし内科クリニック,202-0012,東京都西東京市東町６－６－１０西東京メディカルモール
医療法人社団ＲＭＣ　東伏見整形外科,202-0014,東京都西東京市富士町４－１８－１０
医療法人社団　啓信会　武村医院,202-0021,東京都西東京市東伏見５－９－１４
医療法人社団　欅会　東久留米クリニック,203-0013,東京都東久留米市新川町２－２－２２
細井医院,203-0014,東京都東久留米市東本町４－３
東久留米おだやかメディカルクリニック,203-0023,東京都東久留米市南沢５－１７イオンモール東久留米２階
医療法人社団　欅会　東久留米駅前クリニック,203-0053,東京都東久留米市本町１－３－６グランツビル２Ｆ
医療法人社団　順洋会　武蔵野総合クリニック,204-0021,東京都清瀬市元町１－８－３０
医療法人社団　功和会　平野クリニック,204-0022,東京都清瀬市松山１－４－１９ＨＲＮビル１・２・３階
野島整形外科内科,204-0022,東京都清瀬市松山２－１－３
公益財団法人　結核予防会　複十字病院　健康管理センター,204-0022,東京都清瀬市松山３－１－２４
松田医院,205-0001,東京都羽村市小作台５－８－８
医療法人社団　三秀会　羽村三慶病院,205-0015,東京都羽村市羽４２０７
羽村相互診療所,205-0023,東京都羽村市神明台１－３０－５
あいクリニック,206-0012,東京都多摩市貝取１４３１－３
医療法人社団　貝取内田医院,206-0012,東京都多摩市貝取１－５２－１ノーブル貝取１Ｆ
石川小児クリニック,206-0025,東京都多摩市永山１－４グリナード永山５０４
医療法人社団　泰永会　宮国医院,206-0025,東京都多摩市永山１－４グリナード永山５Ｆ
医療法人社団　めぐみ会　めぐみクリニック,206-0033,東京都多摩市落合１－３２－１多摩センターペペリビル４Ｆ
医療法人社団　めぐみ会　田村クリニック,206-0033,東京都多摩市落合１－３２－１多摩センターペペリビル５階
田村クリニック２,206-0033,東京都多摩市落合１－３５ライオンズプラザ多摩センター３階
医療法人社団ユスタヴィア　多摩センタークリニックみらい,206-0033,東京都多摩市落合１－３８マグレブパーキングビル１階
医療法人財団　医親会　多摩海上ビル診療所,206-0034,東京都多摩市鶴牧２－１－１多摩東京海上日動ビル中央館１Ｆ
医療法人社団　医正会　からきだ駅前クリニック,206-0035,東京都多摩市唐木田１－１－７プラザ唐木田１０４
北澤ニュータウンクリニック,206-0041,東京都多摩市愛宕４－１７－１リエス多摩センター１Ｆ
あべ内科クリニック,206-0802,東京都稲城市東長沼３１０７－１ピアタウン２１　２階
なかお内科クリニック,206-0802,東京都稲城市東長沼３１０７－４京王リトナード稲城３Ｆ
医療法人社団　新晴会　竹田耳鼻咽喉科気管食道科医院,206-0803,東京都稲城市向陽台５－４－２
平尾内科クリニック,206-0823,東京都稲城市平尾３－７－２６
医療法人社団　新晴会　若葉台耳鼻咽喉科,206-0824,東京都稲城市若葉台２－４－３－３０２
石山内科・ペインクリニック,207-0014,東京都東大和市南街１－３９－９
医療法人社団　正洋会　アイエスクリニック,207-0031,東京都東大和市奈良橋６－８８５－１４
医療法人社団　忍会　野口医院,207-0033,東京都東大和市芋窪３－１６２９
医療法人社団　千州会　ちかま医院,208-0022,東京都武蔵村山市榎３－４０－１５
かめい内科・外科クリニック,208-0034,東京都武蔵村山市残堀２－１４－１
医療法人社団うすい会　うすい整形外科医院,210-0006,神奈川県川崎市川崎区砂子２－２－１０第２園ビル
医療法人社団エキクリ　川崎駅東口内科クリニック,210-0007,神奈川県川崎市川崎区駅前本町１０－１ＭＥＦＵＬＬ川崎１１Ｆ
川崎健診クリニック,210-0007,神奈川県川崎市川崎区駅前本町１０－５クリエ川崎８Ｆ
医療法人社団　鉄医会　ナビタスクリニック川崎,210-0007,神奈川県川崎市川崎区駅前本町２６－１アトレ川崎８階
畑医院,210-0012,神奈川県川崎市川崎区宮前町５－１
医療法人社団　慶光会　いしぐろ耳鼻科,210-0022,神奈川県川崎市川崎区池田１－６－３八丁畷京急ビル３Ｆ
村上外科医院,210-0834,神奈川県川崎市川崎区大島１－５－１４
医療法人社団　ナイズ　キャップスクリニック　小田栄,210-0843,神奈川県川崎市川崎区小田栄２－２－３ＬＩＣＯＰＡ川崎２Ｆ
京町クリニック,210-0848,神奈川県川崎市川崎区京町１－９－１１大森ビル１Ｆ
医療法人敬文会社団　黒坂医院,210-0848,神奈川県川崎市川崎区京町２－８－１７
東扇島診療所,210-0869,神奈川県川崎市川崎区東扇島７８福利厚生センター２Ｆ
武蔵小杉内科・漢方・循環器,211-0004,神奈川県川崎市中原区下沼部１８１０－１シティハウス武蔵小杉２Ｆ
ヒロクリニック,211-0004,神奈川県川崎市中原区新丸子東１－８２６－１階
医療法人社団　恒潤会　武蔵小杉皮ふ科,211-0004,神奈川県川崎市中原区新丸子東３－１３０２　ららテラス武蔵小杉４Ｆ
むさし小杉内科クリニック,211-0004,神奈川県川崎市中原区新丸子東３－１３０２　ららテラス武蔵小杉４階
医療法人社団　武光会　武蔵小杉ささもと小児科・アレルギー科,211-0004,神奈川県川崎市中原区新丸子東３－１３０２　ららテラス武蔵小杉４階
山口外科,211-0005,神奈川県川崎市中原区新丸子町７４５－３
医療法人社団　ナイズ　キャップスクリニック武蔵小杉,211-0016,神奈川県川崎市中原区市ノ坪４４９－３シティタワー武蔵小杉
宇藤内科医院,211-0022,神奈川県川崎市中原区苅宿２４－３７
すずき耳鼻咽喉科クリニック,211-0035,神奈川県川崎市中原区井田１－３６－３メディパーク川崎井田２Ｆ
上杉クリニック,211-0041,神奈川県川崎市中原区下小田中１－１５－３３
医療法人光仁会　たかはし内科,211-0041,神奈川県川崎市中原区下小田中１－３－６ＪＯＪビル１Ｆ
医療法人社団　山高クリニック,211-0041,神奈川県川崎市中原区下小田中２－３３－３９グランディール１Ｆ
中島こどもと家族のクリニック,211-0044,神奈川県川崎市中原区新城３－５－１
武蔵小杉森のこどもクリニック小児科・皮膚科,211-0063,神奈川県川崎市中原区小杉町２－２２８－１パークシティ武蔵小杉１Ｆ
むらた内科クリニック,211-0063,神奈川県川崎市中原区小杉町３－１５０１セントア武蔵小杉Ａ棟１階
医療法人社団　恒潤会　こすぎ皮ふ科,211-0063,神奈川県川崎市中原区小杉町３－４３２尾村ビル１Ｆ・２Ｆ
たむらクリニック,211-0066,神奈川県川崎市中原区今井西町１２－１４
アルファメディッククリニック,212-0013,神奈川県川崎市幸区堀川町５８０－１６川崎テックセンター８Ｆ
医療法人社団育心会　ミューザ川崎こどもクリニック,212-0014,神奈川県川崎市幸区大宮町１３１０ミューザ川崎２Ｆ
医療法人社団慶真会　川崎中央クリニック,212-0022,神奈川県川崎市幸区神明町２－６８－７
まつの内科クリニック,212-0032,神奈川県川崎市幸区新川崎５－２シンカモール３階
医療法人社団　博仁会　関口医院,212-0052,神奈川県川崎市幸区古市場１－２１
医療法人社団　晃愛会　たくま幸クリニック,212-0054,神奈川県川崎市幸区小倉３－２８－１２
医療法人社団　山貴会　二子クリニック,213-0002,神奈川県川崎市高津区二子１－１１－１５
医療法人社団　彩新会　ＫＳＰクリニック,213-0012,神奈川県川崎市高津区坂戸３－２－１かながわサイエンスパーク西棟５Ｆ
医療法人社団輔仁会　片倉病院,213-0014,神奈川県川崎市高津区新作４－１１－１６
新城・新作こどもクリニック,213-0014,神奈川県川崎市高津区新作４－１２－６ＦＭビル２階
医療法人　仁泉会　桐村医院,213-0022,神奈川県川崎市高津区千年２００－５
松岡クリニック,213-0033,神奈川県川崎市高津区下作延２－３５－１スペースアメニティ梶ヶ谷２Ｆ
国島医院,213-0033,神奈川県川崎市高津区下作延３－２２－７
医療法人社団　奏　長瀬クリニック,213-0033,神奈川県川崎市高津区下作延３－３－１０スルバリエ梶ヶ谷２Ｆ
てづか内科循環器クリニック,214-0001,神奈川県川崎市多摩区菅１－５－１２－１Ａ
医療法人社団　豊栄会　稲田堤メディカルクリニック,214-0001,神奈川県川崎市多摩区菅２－１５－５
医療法人徳真会　西村クリニック,214-0001,神奈川県川崎市多摩区菅２－４－２サニーサイド２０２
ことぶきクリニック,214-0006,神奈川県川崎市多摩区菅仙谷４－１－５
あいクリニック産婦人科・小児科,214-0006,神奈川県川崎市多摩区菅仙谷４－１－５よみうりランドクリニックモール１Ｆ
つじ内科クリニック,214-0006,神奈川県川崎市多摩区菅仙谷４－１－５よみうりランドクリニックモール２Ｆ
大倉消化器科　外科クリニック,214-0006,神奈川県川崎市多摩区菅仙谷４－１－５よみうりランドクリニックモール２Ｆ
医療法人社団　三知会　中野島小児科クリニック,214-0012,神奈川県川崎市多摩区中野島６－２２－９
医療法人社団　家族の森　多摩ファミリークリニック,214-0013,神奈川県川崎市多摩区登戸新町３３７
やまもとクリニック,214-0013,神奈川県川崎市多摩区登戸新町４０４
岡野内科医院,214-0014,神奈川県川崎市多摩区登戸１７３７ハーベストヒル１階
医療法人社団やまびこ　向ヶ丘遊園整形外科リウマチ科,214-0014,神奈川県川崎市多摩区登戸２０５２ヨシザワプラザビル３Ｆ
久保田診療所,214-0021,神奈川県川崎市多摩区宿河原４－２１－２３
コクボ診療所,214-0021,神奈川県川崎市多摩区宿河原６－３３－９－１Ｆ
かえでファミリークリニック,214-0023,神奈川県川崎市多摩区長尾５－２－２－１０１
渡辺小児科医院,214-0039,神奈川県川崎市多摩区栗谷３－１－１－２０７
新ゆりクリニック,215-0004,神奈川県川崎市麻生区万福寺１－８－７
おばた小児クリニック,215-0005,神奈川県川崎市麻生区千代ケ丘４－１８－１２　スカイプラザ１Ａ
医療法人社団　神緑会　いしだクリニック,215-0011,神奈川県川崎市麻生区百合丘２－７－１
医療法人社団　晃進会　たま日吉台病院,215-0013,神奈川県川崎市麻生区王禅寺１１０５
新ゆり内科,215-0017,神奈川県川崎市麻生区王禅寺西４－３－８
王禅寺整形外科,215-0018,神奈川県川崎市麻生区王禅寺東３－２６－６
医療法人社団　黎明会　新百合ヶ丘ステーションクリニック,215-0021,神奈川県川崎市麻生区上麻生１－２０－１小田急アコルデ新百合ヶ丘５階
しんゆり皮フ科クリニック,215-0021,神奈川県川崎市麻生区上麻生１－５－２小田急新百合ヶ丘ビル４Ｆ
柿生すずき内科・循環器内科,215-0021,神奈川県川崎市麻生区上麻生５－２３－６
ユミカ内科小児科ファミリークリニック,215-0021,神奈川県川崎市麻生区上麻生５－４０－１
医療法人　日米会　鷺沼診療所,216-0003,神奈川県川崎市宮前区有馬１－２２－１６
こにしクリニック,216-0004,神奈川県川崎市宮前区鷺沼１－３－１３鷺沼東急アパート１Ｆ
医療法人社団　菜愛会　つちはし整形外科リウマチ科,216-0005,神奈川県川崎市宮前区土橋７－２６－６
医療法人社団　福島内科医院,216-0006,神奈川県川崎市宮前区宮前平２－１９－９
医療法人社団　健栄会　宮前平健栄クリニック,216-0007,神奈川県川崎市宮前区小台２－５－２宮前平ハイツ２階
医療法人社団　医心会　宮前平グリーンハイツ診療所,216-0023,神奈川県川崎市宮前区けやき平１－１６－２０９
医療法人社団　昌慶会　小野田医院,216-0035,神奈川県川崎市宮前区馬絹６－２２－１４
医療法人社団　前川メディカルクリニック,220-0004,神奈川県横浜市西区北幸１－１－８エキニア横浜８Ｆ
松尾医院,220-0004,神奈川県横浜市西区北幸１－４－１天理ビル５Ｆ
久保クリニック,220-0004,神奈川県横浜市西区北幸２－５－１５プレミア横浜西口ビル１Ｆ
スカイビル内科,220-0011,神奈川県横浜市西区高島２－１９－１２スカイビル２１階
医療法人社団　アスクレピオス　ランドマーク横浜国際クリニック,220-0012,神奈川県横浜市西区みなとみらい２－２－１　ランドマークプラザ１Ｆ
医療法人社団　ＭＹメディカル　ＭＹメディカルクリニック横浜みなとみらい,220-0012,神奈川県横浜市西区みなとみらい３－６－１みなとみらいセンタービル１１階
横浜リーフみなとみらい健診クリニック,220-0012,神奈川県横浜市西区みなとみらい４－６－５　リーフみなとみらい１１階
医療法人財団　コンフォート　コンフォート横浜健診センター,220-0023,神奈川県横浜市西区平沼２－８－２５
富田内科クリニック,220-0053,神奈川県横浜市西区藤棚町１－５８－６富田クリニックビル１階
医療法人社団　ランドマーク医院　クィーンズクリニック,220-6204,神奈川県横浜市西区みなとみらい２－３－５　クィーンズタワーＣ４階
医療法人ＡＺグループ　横浜エムエムクリニック,220-8401,神奈川県横浜市西区みなとみらい３－３－１　三菱重工横浜ビル３Ｆ
大口さいとうクリニック,221-0002,神奈川県横浜市神奈川区大口通３０－５　鈴鹿ビル２Ｆ
公益財団法人　柿葉会　神奈川診療所,221-0043,神奈川県横浜市神奈川区新町１５－６
たむら内科クリニック東神奈川,221-0044,神奈川県横浜市神奈川区東神奈川１－１０－１　ザ・ステーションタワー東神奈川１階
はたの東神奈川キッズクリニック,221-0044,神奈川県横浜市神奈川区東神奈川２－４２－５　ゴールデン東神奈川ビル２０１
医療法人　雅房会　井関医院,221-0052,神奈川県横浜市神奈川区栄町６－１ヨコハマポートサイドロア弐番館１階
あびこ消化器内科クリニック,221-0057,神奈川県横浜市神奈川区青木町６－１５
おおぐり医院,221-0061,神奈川県横浜市神奈川区七島町１２７－９
中村医院,221-0065,神奈川県横浜市神奈川区白楽１２１
消化器内科　横浜むらきクリニック,221-0835,神奈川県横浜市神奈川区鶴屋町２－２６－４　第３安田ビル１Ｆ
いけだ整形外科,222-0001,神奈川県横浜市港北区樽町２－６－４０Ｔ－ＰＬＡＴＺ２Ｆ
（医）社団　浅木クリニック,222-0011,神奈川県横浜市港北区菊名１－１－８
八木クリニック,222-0011,神奈川県横浜市港北区菊名６－１２－１２金子ビル３Ｆ３０１号
中野こどもクリニック,222-0012,神奈川県横浜市港北区富士塚１－１－１
山田医院,222-0032,神奈川県横浜市港北区大豆戸町２１２
社会医療法人社団　三思会　新横浜メディカルサテライト,222-0033,神奈川県横浜市港北区新横浜２－５－１１金子第一ビル４階
医療法人社団やまびこ　新横浜整形外科リウマチ科,222-0033,神奈川県横浜市港北区新横浜３－６－４千歳観光ビル４階
医療法人社団　服部クリニック,222-0037,神奈川県横浜市港北区大倉山１－２８－３
日吉の森内科クリニック,223-0051,神奈川県横浜市港北区箕輪町１－２４－９－２Ｆ
医療法人　あべこどもクリニック,223-0051,神奈川県横浜市港北区箕輪町２－１５－２２
綱島クリニック,223-0053,神奈川県横浜市港北区綱島西２－３－２ナイスアーバンステイツ綱島２Ｆ
医療法人社団設身会　川野循環器内科医院,223-0053,神奈川県横浜市港北区綱島西４－８－１８川野ビル３階
八木医院,223-0062,神奈川県横浜市港北区日吉本町１－１－６
医療法人芝成会　吉川内科・循環器科クリニック,223-0062,神奈川県横浜市港北区日吉本町１－２０－２　吉川ビル１Ｆ
日吉内科,223-0062,神奈川県横浜市港北区日吉本町１－８－３
医療法人社団コンパス　コンパス内科歯科クリニック都筑センター前,224-0001,神奈川県横浜市都筑区茅ヶ崎中央４５－１４　村田ビル３階
（医）桂慈会　ほしの小児クリニック,224-0001,神奈川県横浜市都筑区中川１－１９－１－４Ｆ
五良ファミリークリニックセンター南,224-0006,神奈川県横浜市都筑区荏田東４－３－１９
ときえだ小児科クリニック,224-0021,神奈川県横浜市都筑区北山田１－１２－１５
港北メディカルクリニック,224-0027,神奈川県横浜市都筑区大棚町３００１－８
桜並木医院,224-0037,神奈川県横浜市都筑区茅ケ崎南２－１１－２
ららぽーと横浜クリニック,224-0053,神奈川県横浜市都筑区池辺町４０３５－１ららぽーと横浜１Ｆ
医療法人社団　若葉会　つづき病院,224-0057,神奈川県横浜市都筑区川和町２６７４－８３
医療法人社団ＣＭＧ　ふれあいの丘内科内視鏡健診クリニック,224-0062,神奈川県横浜市都筑区葛が谷１０－３エムズビル３・４階
有本小児科内科,225-0002,神奈川県横浜市青葉区美しが丘２－２０－１８　ドムス有本１０１
桑原クリニック,225-0002,神奈川県横浜市青葉区美しが丘３－３２－５
たまプラーザ整形外科リウマチ科,225-0003,神奈川県横浜市青葉区新石川２－３－３－１階Ａ号室
よしむら内科クリニック,225-0005,神奈川県横浜市青葉区荏子田１－３－３
メンタルクリニック響,225-0011,神奈川県横浜市青葉区あざみ野２－２－８プロスパあざみ野ビル２階
医療法人社団　健生会　長浜医院,225-0011,神奈川県横浜市青葉区あざみ野４－２－４
医療法人社団成仁会　市ヶ尾病院健診センター,225-0024,神奈川県横浜市青葉区市ケ尾町２３－１
